tissue,cell_type,gene,mean_log1p,pct_expr,n_cells
heart,cardiac neuron,MAGED2,0.04955424651735282,6.807885392432962,8167
heart,cardiac neuron,NUDT4,0.07931041424140449,10.187339292273785,8167
heart,cardiac neuron,MTFP1,0.00033948680419473474,0.04897759275131627,8167
heart,cardiac neuron,PPM1K,0.18990970581853872,22.86029141667687,8167
heart,cardiac neuron,NAMPT,0.05796863512527524,6.96706256887474,8167
heart,cardiac neuron,CCND1,0.02580265638599697,3.6365862617852334,8167
heart,cardiac neuron,FBLN1,0.07464209880971319,8.901677482551733,8167
heart,cardiac neuron,ERAP2,0.029681229512548743,4.016162605607934,8167
heart,cardiac neuron,CENPV,0.010942068154858276,1.5427941716664626,8167
heart,neural cell,EIF4EBP1,0.01060302433755196,1.5010605318975363,6129
heart,neural cell,PITPNM1,0.006484737402464247,0.8647413933757546,6129
heart,neural cell,MAGED2,0.06462858504738654,8.076358296622614,6129
heart,neural cell,NUDT4,0.08280520085935239,10.213737967041931,6129
heart,neural cell,MTFP1,0.00045237212104069156,0.0652635013868494,6129
heart,neural cell,PPM1K,0.14031746002759915,16.479034100179476,6129
heart,neural cell,NAMPT,0.11787634641588522,11.79637787567303,6129
heart,neural cell,CCND1,0.031170655179906775,4.013705335291238,6129
heart,neural cell,FBLN1,0.06243664943329719,7.015826399086311,6129
heart,neural cell,ERAP2,0.017531630692969803,2.3821178006200032,6129
heart,neural cell,CENPV,0.009538249219488915,1.3379017784304128,6129
heart,lymphoid lineage restricted progenitor cell,EIF4EBP1,0.009470539118888703,1.356391997287216,5898
heart,lymphoid lineage restricted progenitor cell,PITPNM1,0.014377674194625694,2.034587995930824,5898
heart,lymphoid lineage restricted progenitor cell,MAGED2,0.01294743525614048,1.8480840963038319,5898
heart,lymphoid lineage restricted progenitor cell,NUDT4,0.13077300530281985,16.819260766361477,5898
heart,lymphoid lineage restricted progenitor cell,MTFP1,0.007237613302200436,1.034248897931502,5898
