tissue,cell_type,gene,mean_log1p,pct_expr,n_cells
muscle,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",PPM1K,0.25599285776581243,31.27962085308057,211
muscle,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",NAMPT,0.23684072494506836,26.066350710900473,211
muscle,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CCND1,0.0,0.0,211
muscle,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",FBLN1,0.0,0.0,211
muscle,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",ERAP2,0.24415717418724892,29.38388625592417,211
muscle,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CENPV,0.013140230947196201,1.8957345971563981,211
muscle,professional antigen presenting cell,EIF4EBP1,0.006729584295772812,0.970873786407767,206
muscle,professional antigen presenting cell,PITPNM1,0.003364792147886406,0.4854368932038835,206
muscle,professional antigen presenting cell,MAGED2,0.0,0.0,206
muscle,professional antigen presenting cell,NUDT4,0.030283129330977654,4.368932038834951,206
muscle,professional antigen presenting cell,MTFP1,0.0,0.0,206
muscle,professional antigen presenting cell,PPM1K,0.0,0.0,206
muscle,professional antigen presenting cell,NAMPT,0.17372753319231052,17.961165048543688,206
muscle,professional antigen presenting cell,CCND1,0.0,0.0,206
muscle,professional antigen presenting cell,FBLN1,0.0,0.0,206
muscle,professional antigen presenting cell,ERAP2,0.03561619878972618,4.854368932038835,206
muscle,professional antigen presenting cell,CENPV,0.003364792147886406,0.4854368932038835,206
