miRNA,gene,clipExpNum,panCancer,n_program,xref_validated
hsa-miR-149-5p,FBLN1,7,3,3,FALSE
hsa-miR-195-5p,FBLN1,3,1,1,FALSE
hsa-miR-155-5p,FBLN1,8,5,2,TRUE
hsa-miR-376c-3p,FBLN1,3,0,3,FALSE
hsa-miR-323a-3p,FBLN1,8,1,1,FALSE
hsa-miR-432-5p,FBLN1,3,0,1,FALSE
hsa-miR-497-5p,FBLN1,3,1,1,FALSE
hsa-miR-524-5p,FBLN1,8,3,1,FALSE
hsa-miR-520d-5p,FBLN1,8,3,1,FALSE
hsa-miR-503-5p,FBLN1,3,5,1,TRUE
hsa-miR-590-5p,FBLN1,5,13,1,FALSE
hsa-miR-650,FBLN1,3,1,1,FALSE
hsa-miR-654-5p,FBLN1,4,0,1,FALSE
hsa-miR-655-3p,FBLN1,7,0,1,FALSE
hsa-miR-769-5p,FBLN1,3,7,1,FALSE
hsa-miR-541-3p,FBLN1,4,1,1,FALSE
hsa-miR-875-5p,FBLN1,8,4,1,FALSE
hsa-miR-543,FBLN1,8,0,1,FALSE
hsa-miR-1224-5p,FBLN1,4,3,1,FALSE
hsa-miR-3612,FBLN1,3,0,1,FALSE
hsa-miR-4640-5p,FBLN1,3,5,1,FALSE
hsa-miR-4726-5p,FBLN1,3,2,1,FALSE
hsa-miR-2467-3p,FBLN1,3,0,1,FALSE
