"gene","module"
"CENPA","brown"
"C13orf31","grey"
"TSC22D3","salmon"
"DSG1","turquoise"
"RRAD","red"
"MUM1L1","turquoise"
"LOC652493","tan"
"C20orf200","brown"
"FAM27D1","blue"
"ITGA11","grey"
"SPINK5","grey"
"C3orf55","black"
"PCDH18","black"
"SNORD113-4","pink"
"SHC4","brown"
"MURC","grey"
"KDELR3","greenyellow"
"SNAI2","blue"
"ST8SIA5","turquoise"
"DGKG","grey"
"SNORD116-6","pink"
"ENC1","greenyellow"
"PLA2G4A","greenyellow"
"ZMAT1","brown"
"NANOS1","green"
"IFIT1","turquoise"
"ZNF385B","grey"
"SNORA41","pink"
"TPSAB1","tan"
"SNORD116-17","pink"
"RPPH1","pink"
"NEK10","turquoise"
"EPHA3","yellow"
"PLEK","blue"
"LPAR4","yellow"
"SLC38A3","turquoise"
"IGKV1-5","tan"
"B3GNT5","lightcyan"
"LOC285456","brown"
"PLXDC1","yellow"
"FHL5","black"
"VAMP8","blue"
"CCDC102B","greenyellow"
"ETNK2","green"
"SNORD14C","pink"
"HECW2","turquoise"
"ADAMTS2","blue"
"TMEM45A","blue"
"NUDT8","magenta"
"SNORD116-3","pink"
"NCKAP5","brown"
"GATSL1","green"
"CENPV","green"
"CPAMD8","salmon"
"PHKG1","turquoise"
"EPHA4","brown"
"DPYSL3","greenyellow"
"SLC39A10","purple"
"RGS1","blue"
"LOC100131860","brown"
"LOC440297","grey"
"DKFZp686O24166","grey"
"NT5DC2","green"
"TSKU","black"
"INMT","yellow"
"GNMT","green"
"DUSP13","green"
"MEOX2","yellow"
"SCARNA10","pink"
"LOC51152","turquoise"
"PACRG","turquoise"
"INPP4B","brown"
"C10orf71","turquoise"
"FBXO32","turquoise"
"LOC644249","grey"
"VTRNA1-3","pink"
"TNNI3K","turquoise"
"SEMA4B","green"
"TMEM140","brown"
"SERPINI1","brown"
"ZBTB16","salmon"
"KLHDC8B","red"
"IFITM2","blue"
"PDE11A","grey"
"GADD45B","cyan"
"ITGB2","blue"
"SLC9A10","brown"
"EXT1","brown"
"CD248","blue"
"HIST1H4D","pink"
"BCL6B","grey"
"CYBRD1","yellow"
"BMP4","yellow"
"EFHC2","turquoise"
"ASB12","magenta"
"PSD3","turquoise"
"SERPINA1","blue"
"ART3","magenta"
"MTHFD2","red"
"ETV5","grey"
"KAL1","brown"
"ACSF2","black"
"SNORD116-22","grey"
"C12orf5","red"
"BHMT2","grey"
"HLA-DMA","tan"
"SCARNA7","pink"
"SULT1C2","grey"
"ICAM1","lightcyan"
"GADD45A","purple"
"PTPRC","tan"
"CA3","yellow"
"C1S","black"
"PPP2R2C","magenta"
"ADCY3","blue"
"SCARNA6","pink"
"MAP3K6","salmon"
"SLC7A2","red"
"PLP2","green"
"SLIT3","yellow"
"HEYL","blue"
"OLFML2B","greenyellow"
"NTRK2","black"
"CLSTN2","black"
"SNORD27","blue"
"MIR186","grey"
"PCOLCE2","yellow"
"HEPH","brown"
"TM4SF18","grey"
"BTN3A2","midnightblue"
"PDCD1LG2","tan"
"IL2RG","tan"
"LOC388022","grey"
"HLA-DRB4","tan"
"TBX15","blue"
"TNFSF8","tan"
"SLCO5A1","green"
"NAIP","grey"
"PPP1R3C","turquoise"
"INHBA","greenyellow"
